,2007-09-23 00:00:00+00:00,2007-09-30 00:00:00+00:00,2007-10-07 00:00:00+00:00,2007-10-14 00:00:00+00:00,2007-10-21 00:00:00+00:00,2007-10-28 00:00:00+00:00,2007-11-04 00:00:00+00:00,2007-11-11 00:00:00+00:00,2007-11-18 00:00:00+00:00,2007-11-25 00:00:00+00:00,2007-12-02 00:00:00+00:00,2007-12-09 00:00:00+00:00,2007-12-16 00:00:00+00:00,2007-12-23 00:00:00+00:00,2007-12-30 00:00:00+00:00,2008-01-06 00:00:00+00:00,2008-01-13 00:00:00+00:00,2008-01-20 00:00:00+00:00,2008-01-27 00:00:00+00:00,2008-02-03 00:00:00+00:00,2008-02-10 00:00:00+00:00,2008-02-17 00:00:00+00:00,2008-02-24 00:00:00+00:00,2008-03-02 00:00:00+00:00,2008-03-09 00:00:00+00:00,2008-03-16 00:00:00+00:00,2008-03-23 00:00:00+00:00,2008-03-30 00:00:00+00:00,2008-04-06 00:00:00+00:00,2008-04-13 00:00:00+00:00,2008-04-20 00:00:00+00:00,2008-04-27 00:00:00+00:00,2008-05-04 00:00:00+00:00,2008-05-11 00:00:00+00:00,2008-05-18 00:00:00+00:00,2008-05-25 00:00:00+00:00,2008-06-01 00:00:00+00:00,2008-06-08 00:00:00+00:00,2008-06-15 00:00:00+00:00,2008-06-22 00:00:00+00:00,2008-06-29 00:00:00+00:00,2008-07-06 00:00:00+00:00,2008-07-13 00:00:00+00:00
Equity(0 [A]),36.91,36.88,37.79,37.61,37.3,36.03,36.02,33.39,36.72,36.91,37.83,38.01,36.31,37.19,37.49,34.77,36.0,33.66,33.19,34.46,32.0,30.65,31.41,30.61,30.07,29.64,29.66,29.58,31.71,30.13,30.97,31.53,32.07,31.9,35.09,35.93,37.39,36.51,37.31,37.57,35.59,34.73,35.07
Equity(7 [AAP]),33.416,33.396,35.367,34.69,31.914,33.864,34.61,34.989,34.63,34.073,35.785,39.307,37.894,38.353,38.044,35.552,31.943,31.715,33.11,36.35,34.865,33.549,33.489,33.429,32.722,33.718,34.11,33.331,35.888,34.28,34.929,34.649,35.908,33.581,38.763,37.875,40.241,40.241,39.233,39.97,39.4,37.13,37.93
Equity(8 [AAPL]),144.15,153.47,161.449,167.253,170.42,184.7,187.87,165.37,166.39,171.54,182.22,194.3,190.39,193.91,199.83,180.05,172.69,161.36,130.009,133.75,125.48,124.63,119.46,125.02,122.25,126.61,133.27,143.01,153.08,147.14,161.04,169.73,180.94,183.45,187.62,181.17,188.75,185.64,172.37,175.27,170.09,170.12,175.16
Equity(2590 [SLB]),105.517,104.325,104.255,109.133,98.681,98.87,98.184,94.15,92.859,93.505,92.849,96.746,94.138,94.208,98.349,97.552,93.581,79.157,77.345,77.922,77.017,83.905,85.273,86.27,85.432,83.726,80.473,85.482,91.18,90.422,101.639,102.527,99.423,104.792,105.091,99.822,100.92,101.94,99.69,104.1,105.9,101.88,99.51
Equity(2592 [SLG]),105.004,113.668,118.973,117.036,111.263,115.936,111.01,108.518,104.79,98.492,101.14,99.796,92.719,94.306,89.441,85.221,83.219,81.609,86.83,96.928,85.731,86.241,87.37,89.794,82.846,78.243,81.286,80.618,87.705,84.622,86.912,93.166,98.022,93.909,99.053,92.869,98.815,94.236,93.106,86.654,82.55,81.96,80.83
Equity(2595 [SLM]),48.31,49.67,49.5,48.45,47.17,47.51,44.9,39.93,39.05,38.76,38.08,36.12,26.69,19.85,19.65,16.67,20.18,18.85,19.88,23.0,20.75,21.98,22.32,19.61,18.43,16.63,15.78,15.16,18.49,17.85,17.2,17.8,21.75,21.7,21.0,23.63,22.67,22.06,23.85,22.84,19.48,18.45,17.2
Equity(2598 [SM]),35.356,35.585,37.052,39.556,40.992,42.569,43.449,42.14,40.502,41.281,39.254,41.291,41.91,38.105,39.114,37.865,37.256,34.379,33.81,34.839,34.519,35.138,34.679,36.836,35.198,35.628,34.09,38.045,38.934,38.704,43.029,43.788,45.3,48.29,50.31,50.16,50.96,53.12,58.83,62.08,63.36,58.55,56.16
Equity(20 [ABT]),53.462,52.657,54.012,52.006,50.781,53.419,53.399,53.468,54.545,54.821,56.817,57.519,56.817,57.558,56.54,55.118,60.096,59.033,55.11,57.166,56.421,55.179,54.176,53.192,50.699,51.037,55.288,52.716,54.474,52.8,50.72,51.28,53.17,51.78,54.71,54.26,56.35,54.76,54.11,53.35,53.0,54.75,54.19
Equity(22 [ACAS]),37.531,39.057,41.022,41.086,37.924,38.39,37.805,35.081,35.575,34.542,34.377,34.706,33.316,32.076,31.183,29.144,29.999,26.964,29.868,33.626,31.672,32.235,33.654,34.096,32.467,33.192,35.213,33.521,33.463,32.603,31.259,30.079,30.948,30.446,31.732,30.379,30.94,29.924,29.15,27.15,24.95,22.44,21.59
Equity(2610 [SNDK]),53.56,55.1,52.1,47.399,42.71,41.02,44.43,38.95,37.36,36.11,37.44,38.65,36.34,35.67,33.54,30.42,28.58,27.74,25.62,27.55,26.61,25.37,25.649,23.55,21.41,22.15,20.55,21.26,25.84,26.4,27.4,26.84,29.19,29.18,32.439,28.26,28.31,27.6,24.02,21.16,19.23,18.43,17.58
Equity(33 [ACI]),33.245,33.584,33.703,34.887,35.136,40.77,38.968,37.923,35.007,35.554,37.756,40.05,39.9,43.5,44.597,41.197,39.062,35.522,41.117,49.195,51.279,49.264,53.273,51.015,48.07,45.064,40.421,44.225,48.859,52.104,58.285,57.905,59.163,65.265,64.775,62.808,64.91,72.79,71.5,73.42,73.41,63.7,63.3
Equity(2619 [SNV]),11.757,11.62,11.807,11.256,10.576,10.8,10.27,10.357,9.818,9.855,10.311,10.506,9.821,10.137,9.888,10.546,11.408,10.526,11.417,13.064,12.008,11.601,11.814,11.166,10.914,11.369,12.614,10.738,10.718,10.63,11.416,11.602,12.368,11.602,12.005,11.789,11.288,10.394,9.372,8.84,9.06,8.63,8.09
Equity(37 [ACN]),39.286,39.83,39.108,42.21,39.27,39.2,38.4,34.86,36.79,35.16,34.56,35.44,34.0,38.0,36.88,34.91,32.79,33.77,33.86,35.04,33.95,34.56,34.03,35.25,33.75,33.35,34.61,35.32,36.77,36.51,39.3,38.94,39.07,37.75,38.28,37.03,40.82,39.88,39.19,39.12,41.34,40.41,39.86
Equity(2621 [SO]),35.819,35.084,35.52,35.442,34.233,35.007,34.926,35.054,36.198,37.195,36.784,38.036,37.635,38.329,38.28,37.85,38.877,36.902,35.288,36.879,35.347,35.376,35.119,34.14,33.903,34.061,35.722,34.971,36.098,35.89,36.533,36.681,37.11,36.29,36.74,36.0,36.2,34.92,35.09,34.49,34.43,35.32,35.16
Equity(45 [ADBE]),41.95,43.66,44.64,46.119,46.27,47.0,47.88,43.24,42.19,41.91,42.14,44.37,42.11,42.18,42.93,40.36,38.05,35.33,34.84,34.48,33.19,34.67,35.09,33.65,32.549,32.61,34.45,35.33,36.97,35.98,36.27,36.89,40.38,39.89,42.26,41.25,44.06,42.3,42.71,40.55,39.8,40.39,39.72
Equity(48 [ADI]),35.934,35.502,35.895,35.709,34.0,32.429,32.302,31.811,32.017,30.593,30.22,30.924,31.734,31.467,31.171,28.771,26.193,27.2,27.378,28.741,27.428,27.586,27.842,26.588,27.212,27.47,28.186,28.793,30.493,30.165,31.477,32.014,33.127,33.943,35.255,33.615,35.11,34.8,33.93,33.25,31.7,30.71,30.92
Equity(49 [ADM]),32.819,32.779,32.809,35.157,34.583,34.741,34.523,36.594,37.545,35.378,36.134,38.321,38.837,44.007,46.81,45.577,43.38,40.657,41.859,45.229,41.164,43.997,44.446,44.965,44.875,43.718,40.059,42.153,42.402,42.901,46.33,47.168,43.808,42.552,43.35,43.17,39.7,37.2,32.61,32.67,32.92,31.17,31.91
Equity(52 [ADP]),45.413,45.002,47.001,47.275,46.56,45.629,47.687,45.786,46.207,44.806,44.15,44.63,44.314,44.344,44.087,40.429,40.508,38.999,38.21,39.413,37.372,39.187,40.143,39.394,38.664,39.105,40.675,41.509,43.595,41.698,43.525,43.784,42.8,42.81,43.575,41.529,42.761,42.105,43.14,42.6,41.64,42.08,42.11
Equity(53 [ADS]),78.54,77.44,79.04,79.65,80.6,80.41,80.1,77.26,77.74,77.46,77.7,78.25,76.46,74.7,73.67,72.0,68.25,61.93,65.6,53.9,55.02,55.4,51.36,50.63,45.5,46.63,52.22,47.38,48.48,47.9,52.84,56.06,58.83,59.11,59.94,56.55,60.04,57.96,60.78,60.5,55.98,54.19,53.51
Equity(54 [ADSK]),48.72,49.97,50.56,50.8,46.96,47.65,48.81,46.16,46.41,45.79,47.09,48.2,49.56,50.99,50.26,45.7,43.18,41.24,41.3,41.96,38.94,38.15,38.6,31.09,31.61,34.08,32.0,31.77,33.83,31.99,33.27,39.38,39.42,39.1,40.74,38.75,41.16,40.51,38.54,36.88,34.03,33.96,33.68
Equity(2631 [SPG]),95.938,96.063,104.18,100.319,92.557,94.603,95.266,89.108,91.372,87.922,95.383,94.578,89.308,87.293,84.377,77.081,79.474,75.763,83.892,92.524,81.247,82.742,84.083,82.047,82.36,85.46,94.172,91.516,99.375,96.114,101.565,103.666,102.863,98.641,103.5,97.52,99.36,97.72,98.09,95.09,90.82,87.72,84.93
